Date  20001101
Article  0  : ('伦敦外汇市场行情新华社伦敦', 1.0)('10月31日电', 1.0)
Article  1  : ('国', 1.0)('际市场贱金属价格新华社伦敦', 1.0)('10月31日电', 1.0)
Article  50  : ('积极', 1.0000000000000002)('做好', 1.0000000000000002)('新华社成都11月2', 1.0000000000000002)('3', 1.0000000000000002)
Article  51  : ('重点城市空气质量状况新华社北京11月', 1.0)('23日电', 1.0)
Article  52  : ('今日新华股价指数新华社北京11月', 1.0)('23日电', 1.0)
Article  53  : ('研究', 2.204166666666666)('考虑', 2.204166666666666)('照', 1.5277520576131685)('官', 1.1777777777777758)
Article  54  : ('2', 1.2256196470914742)('5', 1.0531061437330518)('家', 1.0000000000000004)('和', 1.0000000000000004)
Article  55  : ('北海市', 1.0000000000000004)('山', 1.0000000000000004)('人与', 1.0000000000000004)('区', 1.0000000000000002)
Article  56  : ('国', 1.0000000000000002)('学', 1.0000000000000002)('由', 1.0000000000000002)('山', 1.0000000000000002)
Article  57  : ('2', 1.1496884779020917)('党', 1.0000000000000002)('人', 1.0000000000000002)('和部队', 1.0000000000000002)
Article  58  : ('基总理', 1.0000000000000004)('抵达', 1.0000000000000004)('部副部长', 1.0000000000000004)('日', 1.0000000000000002)
Article  59  : ('2', 1.251329747858965)('协', 1.0000000000000004)('国', 1.0000000000000002)('赛', 1.0000000000000002)
Article  60  : ('日', 1.330882531584062)('0', 1.2754463677309618)('赛', 1.0877001227253318)('国', 1.0000000000000007)
Article  61  : ('作', 1.1411096605727553)('司法鉴定', 1.0000000000000013)('院', 1.0000000000000002)('鉴定', 1.0000000000000002)
Article  62  : ('9', 1.2772098632589477)('似', 1.1359901288853576)('0', 1.1112693022655473)('出', 1.098924441964285)
Article  63  : ('法', 1.0000000000000002)('违法违纪', 1.0000000000000002)('象', 1.0000000000000002)('新华社济南11月2', 1.0000000000000002)
Article  64  : ('木', 1.0000000000000004)('第一条', 1.0000000000000002)('当', 1.0000000000000002)('雄', 1.0000000000000002)
Article  65  : ('秦', 1.0000000000000004)('水电站', 1.0000000000000004)('福鼎市', 1.0000000000000002)('闸', 1.0000000000000002)
Article  66  : ('0', 1.4998613256895117)('1', 1.1000233508777826)('发行', 1.0000000000000007)('将', 1.0000000000000002)
Article  67  : ('1', 1.0662107527569118)('税', 1.0000000000000007)('第', 1.0000000000000004)('前', 1.0000000000000002)
Article  68  : ('国', 1.1427560368991136)('全', 1.1267824020000503)('程', 1.0000000000000004)('心', 1.0000000000000002)
Article  69  : ('0', 1.2142180540212837)('党', 1.2126858360391386)('行', 1.0000000000000004)('数字图书馆建设', 1.0000000000000002)
Article  70  : ('科技', 1.3278325345616917)('工', 1.0000000000000024)('防', 1.0000000000000007)('科', 1.0000000000000002)
Article  71  : ('1', 1.0000000000000004)('综合', 1.0000000000000004)('力争', 1.0000000000000002)('0', 1.0000000000000002)
Article  72  : ('1', 1.2499680675841327)('伴', 1.2245933226417847)('户', 1.1804250925679982)('喷', 1.1284096102103292)
Article  73  : ('叔', 2.204166666666666)('天', 1.2949234855422072)('生', 1.2785240881847237)('0', 1.2364594740100605)
Article  74  : ('2', 1.128692356752039)('再次发生', 1.0000000000000004)('警方', 1.0000000000000004)('对', 1.0000000000000002)
Article  75  : ('赴', 1.0000000000000004)('国', 1.0000000000000004)('中国奥运金牌运动员代表团', 1.0000000000000002)('奥', 1.0000000000000002)
Article  76  : ('斯', 1.301486691583261)('滴', 1.2996842921773752)('土', 1.2902901785714291)('太', 1.2816923534192655)
Article  77  : ('马拉松赛', 1.3147056972754165)('1', 1.225565457387698)('际', 1.0000000000000004)('该', 1.0000000000000004)
Article  78  : ('国', 1.0000000000000007)('该', 1.0000000000000004)('将', 1.0000000000000002)('办事处', 1.0000000000000002)
Article  79  : ('1', 1.1613610833520878)('性', 1.1313162052139514)('公', 1.0000000000000004)('验', 1.0000000000000002)
Article  80  : ('会', 1.0000000000000007)('的', 1.0000000000000007)('钱其琛', 1.0000000000000002)('新华社北京11月23日电', 1.0000000000000002)
Article  81  : ('发', 1.0000000000000004)('可', 1.0000000000000004)('春', 1.0000000000000002)('江', 1.0000000000000002)
Article  82  : ('建设投资', 1.0000000000000004)('建', 1.0000000000000004)('重点项目', 1.0000000000000002)('3', 1.0000000000000002)
Article  83  : ('网', 1.177876386187288)('春', 1.0000000000000004)('建设', 1.0000000000000002)('的国家', 1.0000000000000002)
Article  84  : ('才', 1.2011012432932469)('保障', 1.0900173611111104)('人', 1.0633409033531145)('女性', 1.0000000000000007)
Article  85  : ('执', 1.1359901288853576)('作', 1.0000000000000004)('河', 1.0000000000000002)('严格', 1.0000000000000002)
Article  86  : ('的', 1.0000000000000004)('他们', 1.0000000000000004)('新', 1.0000000000000002)('华', 1.0000000000000002)
Article  87  : ('刘', 1.0000000000000009)('首例', 1.0000000000000007)('体', 1.0000000000000002)('解放军', 1.0000000000000002)
Article  88  : ('1', 1.110885494969604)('4', 1.0522594215075651)('五', 1.0000000000000002)('万', 1.0000000000000002)
Article  89  : ('版', 1.2588260995225444)('1', 1.2513297478589644)('的', 1.057988238198336)('生', 1.0000000000000009)
Article  90  : ('1', 1.0000000000000007)('学', 1.0000000000000004)('他', 1.0000000000000004)('发', 1.0000000000000002)
Article  91  : ('0', 1.2142180540212837)('有', 1.0000000000000004)('同', 1.0000000000000004)('中国体育', 1.0000000000000002)
Article  92  : ('2', 1.3302932739257811)('1', 1.0998219924102157)('世界', 1.0000000000000002)('室内足球赛', 1.0000000000000002)
Article  93  : ('0', 1.2142180540212837)('有', 1.0000000000000004)('同', 1.0000000000000004)('中国体育', 1.0000000000000002)
Article  94  : ('2', 1.1938604499256231)('伊朗队', 1.0000000000000009)('分', 1.0000000000000004)('日', 1.0000000000000004)
Article  95  : ('进', 1.0000000000000009)('结束', 1.0000000000000002)('还有', 1.0000000000000002)('的人才', 1.0000000000000002)
Article  96  : ('户', 1.1995752356484686)('家', 1.127005997235286)('菜', 1.0000000000000018)('大', 1.0000000000000004)
Article  97  : ('发', 1.0000000000000002)('婴', 1.0000000000000002)('孕妇', 1.0000000000000002)('与', 1.0000000000000002)
Article  98  : ('中', 1.0000000000000004)('民', 1.0000000000000002)('政府签', 1.0000000000000002)('订', 1.0000000000000002)
Article  99  : ('营利性', 1.135078048050107)('新华社天津11月2', 1.0000000000000004)('分类', 1.0000000000000002)('开始进行', 1.0000000000000002)
Article  100  : ('火灾', 1.142592592592593)('25亿元', 1.0000000000000004)('投资', 1.0000000000000002)('系', 1.0000000000000002)
Article  101  : ('5', 1.3158702777263174)('分', 1.3002153192287051)('2', 1.2094218632607057)('的', 1.0449542029633834)
Article  102  : ('执', 1.0000000000000007)('惠关税', 1.0000000000000007)('暂', 1.0000000000000004)('签署', 1.0000000000000002)
Article  103  : ('品', 1.2011489986345008)('产', 1.0854239254417493)('缅甸', 1.0000000000000002)('半', 1.0000000000000002)
Article  104  : ('人', 1.21519835734451)('2', 1.1039808601758334)('的', 1.0688102991764803)('成', 1.0000000000000007)
Article  105  : ('2', 1.4128087315091264)('上', 1.118729385800149)('诉', 1.0964453960802616)('的', 1.0000000000000018)
Article  106  : ('舞', 1.0000000000000022)('获', 1.0000000000000004)('代', 1.0000000000000004)('艳', 1.0000000000000004)
Article  107  : ('0', 1.2256196470914742)('国', 1.1223479574368087)('美', 1.0000000000000002)('购买', 1.0000000000000002)
Article  108  : ('微', 1.227759327481453)('的', 1.0000000000000018)('科', 1.000000000000001)('检测', 1.0000000000000004)
Article  109  : ('连', 1.1300556869694938)('的', 1.049020542465088)('轻', 1.0160318047337278)('队', 1.0000000000000007)
Article  110  : ('足球', 1.0000000000000009)('新华社天津11月2', 1.0000000000000004)('进军', 1.0000000000000002)('足', 1.0000000000000002)
Article  111  : ('呼吁', 1.0000000000000004)('国', 1.0000000000000002)('实', 1.0000000000000002)('结束冲突', 1.0000000000000002)
Article  112  : ('国', 1.0897208230452662)('的', 1.0000000000000027)('子', 1.0000000000000016)('源', 1.0000000000000013)
Article  113  : ('执', 1.1709191187458714)('商', 1.0000000000000004)('3', 1.0000000000000002)('日', 1.0000000000000002)
Article  114  : ('2', 1.0000000000000004)('冲突', 1.0000000000000004)('理', 1.0000000000000002)('议', 1.0000000000000002)
Article  115  : ('专', 1.0000000000000004)('中', 1.0000000000000004)('明', 1.0000000000000002)('素质', 1.0000000000000002)
Article  116  : ('国', 1.2061250498919989)('人', 1.0000000000000004)('部副部长', 1.0000000000000004)('赴', 1.0000000000000002)
Article  117  : ('各', 1.1292601897069872)('干', 1.0000000000000004)('试行', 1.0000000000000002)('所', 1.0000000000000002)
Article  118  : ('的', 1.0000000000000009)('以', 1.0000000000000004)('学', 1.0000000000000004)('西', 1.0000000000000002)
Article  119  : ('人', 1.194411479253914)('1', 1.026070230272489)('等', 1.0000000000000007)('石家庄', 1.0000000000000004)
Article  120  : ('大', 1.1053339623147809)('产', 1.099603329344185)('卡', 1.0857569369551114)('用', 1.0378744807701537)
Article  121  : ('内阁', 1.309931687242798)('2', 1.141243941695602)('党', 1.105717800683591)('公', 1.0000000000000004)
Article  122  : ('2', 1.5364800000000003)('南联盟', 1.0000000000000002)('地', 1.0000000000000002)('阿', 1.0000000000000002)
Article  123  : ('0', 1.2192580199726566)('在', 1.2063821535649228)('2', 1.143479977950734)('8', 1.1319274352476405)
Article  124  : ('成', 1.0000000000000004)('密', 1.0000000000000002)('欧', 1.0000000000000002)('病毒', 1.0000000000000002)
Article  125  : ('9', 1.3977176930235446)('绰', 1.2208498207114102)('白', 1.211059167971007)('流', 1.1686299718735969)
Article  126  : ('0', 1.1839830569764132)('1', 1.0753446749755002)('雇', 1.0620904172937935)('改善', 1.0000000000000004)
Article  127  : ('求', 1.259182510742006)('明', 1.1766983695652176)('绘画', 1.0000000000000002)('在香港举行', 1.0000000000000002)
Article  128  : ('处', 1.214218054021284)('场', 1.0000000000000004)('香港', 1.0000000000000002)('机', 1.0000000000000002)
Article  129  : ('关', 1.109354200785251)('一', 1.0000000000000009)('霍', 1.0000000000000004)('在', 1.0000000000000004)
Article  130  : ('茫', 1.3493593331404783)('汪', 1.2816923534192655)('县', 1.1281100337287595)('鸭', 1.0754891482908115)
Article  131  : ('9', 1.6533344247056572)('0', 1.0522594215075651)('创', 1.0384049910699684)('赛', 1.0064046565009794)
Article  132  : ('2', 1.3077216893096615)('成', 1.1877935731014362)('0', 1.0917249818450268)('报告', 1.0000000000000007)
Article  133  : ('4', 1.349359333140478)('2', 1.0053518518518516)('全线', 1.0000000000000002)('大幅下挫', 1.0000000000000002)
Article  134  : ('盟', 1.0350016000000009)('东', 1.0000000000000007)('国', 1.0000000000000004)('将', 1.0000000000000004)
Article  135  : ('有', 1.3617835504011289)('0', 1.1455058840616217)('新', 1.0000000000000002)('场', 1.0000000000000002)
Article  136  : ('2', 1.3035159139475625)('病', 1.239436067489442)('畜', 1.1371078141612538)('停止', 1.0000000000000007)
Article  137  : ('2', 1.2210860677028406)('斯', 1.1711313645559969)('与', 1.0000000000000002)('改善', 1.0000000000000002)
Article  138  : ('2', 1.2513297478589644)('平', 1.0000000000000002)('肖', 1.0000000000000002)('特', 1.0000000000000002)
Article  139  : ('0', 1.3596018237981176)('2', 1.0936805418651503)('发', 1.0000000000000004)('全', 1.0000000000000004)
Article  140  : ('0', 1.3597301385119778)('S', 1.105485313801748)('2', 1.000000000000001)('拥', 1.0000000000000004)
Article  141  : ('部', 1.1633772971212355)('这些', 1.0000000000000004)('成', 1.0000000000000002)('近日', 1.0000000000000002)
Article  142  : ('0', 1.7851764415118168)('北', 1.0000000000000007)('北约', 1.0000000000000004)('多', 1.0000000000000004)
Article  143  : ('说', 1.0000000000000004)('的', 1.0000000000000004)('没', 1.0000000000000004)('早就', 1.0000000000000002)
Article  144  : ('球', 1.0000000000000007)('的', 1.0000000000000007)('次', 1.0000000000000004)('又', 1.0000000000000004)
Article  145  : ('1', 1.214218054021284)('年', 1.200723444313169)('阿', 1.0000000000000007)('将', 1.0000000000000007)
Article  146  : ('伦敦外汇市场行情新华社伦敦11月', 1.0)('22日电', 1.0)
Article  147  : ('国际市场贱金属价格新华社伦敦11月', 1.0)('22日电', 1.0)
Article  148  : ('2', 1.221047347976186)('1', 1.2186800784370506)('挫', 1.0000000000000004)('大幅下跌', 1.0000000000000002)
Article  149  : ('2', 1.098299319727891)('了', 1.027150265262224)('人', 1.0000000000000018)('巴', 1.0000000000000004)
Article  150  : ('分', 1.3548007383806204)('萨尔瓦', 1.0000000000000007)('加拿大', 1.0000000000000004)('规则', 1.0000000000000004)
Article  151  : ('2', 1.2036586133395986)('在', 1.0000000000000007)('从', 1.0000000000000004)('呼吁以色列', 1.0000000000000002)
Article  152  : ('国', 1.0000000000000004)('际', 1.0000000000000002)('必须', 1.0000000000000002)('阿卜杜拉', 1.0000000000000002)
Article  153  : ('以', 1.0000000000000004)('土', 1.0000000000000004)('和', 1.0000000000000002)('到', 1.0000000000000002)
Article  154  : ('2', 1.2513297478589644)('国', 1.0000000000000004)('会', 1.0000000000000004)('结', 1.0000000000000004)
Article  155  : ('2', 1.5134288233955397)('会', 1.0645756574187353)('任命', 1.0000000000000007)('负责', 1.0000000000000002)
Article  156  : ('的', 1.0000000000000004)('代表在', 1.0000000000000002)('止暴力冲突', 1.0000000000000002)('常驻联合国代表王英凡', 1.0000000000000002)
Article  157  : ('4', 1.2050057528406088)('2', 1.1557239286002516)('要求', 1.0000000000000004)('安', 1.0000000000000004)
Article  158  : ('超级联赛', 1.0000000000000004)('进', 1.0000000000000004)('让', 1.0000000000000004)('愚', 1.0000000000000002)
Article  159  : ('0', 1.3655925597580074)('1', 1.099523289375473)('科', 1.0000000000000007)('闻', 1.0000000000000002)
Article  160  : ('2', 1.1196219276285846)('否认', 1.0000000000000004)('进', 1.0000000000000004)('同', 1.0000000000000002)
Article  161  : ('国', 1.2520604186717386)('2', 1.1270059972352864)('副', 1.0000000000000004)('立', 1.0000000000000004)
Article  162  : ('将同', 1.0000000000000002)('普', 1.0000000000000002)('会', 1.0000000000000002)('将在', 1.0000000000000002)
Article  163  : ('第', 1.0000000000000004)('今', 1.0000000000000004)('两', 1.0000000000000002)('遭淘汰', 1.0000000000000002)
Article  164  : ('人民币市场汇价新华社北京11月', 1.0)('23日电', 1.0)
Article  165  : ('对', 1.129260189706987)('2', 1.1286923567520388)('以色列', 1.0000000000000004)('爆炸', 1.0000000000000004)
Article  166  : ('0', 1.4407013555945691)('业', 1.2699200970072821)('添', 1.2142180540212837)('2', 1.1775685152535373)
Article  167  : ('油', 1.273378257629864)('走', 1.239870217732652)('面', 1.2112275279871514)('根', 1.173402201433525)
Article  168  : ('官', 1.343373852501804)('日本', 1.0000000000000007)('藤森', 1.0000000000000004)('外', 1.0000000000000004)
Article  169  : ('2', 1.3096267741479892)('部', 1.064125865583899)('其', 1.0000000000000007)('了', 1.0000000000000004)
Article  170  : ('全国男篮甲A联赛', 1.0)('积分榜', 1.0)('新华社北京11月22日电', 1.0)
Article  171  : ('8', 1.796355555555555)('0', 1.6215277031717548)('二', 1.0000000000000002)('轮', 1.0000000000000002)
Article  172  : ('屡', 1.149019268963742)('愈', 1.1284342389462136)('的', 1.000000000000001)('也', 1.0000000000000009)
Article  173  : ('8', 1.2119454897775443)('一', 1.1205661200921302)('防', 1.119688865086864)('2', 1.1021474990089106)
Article  174  : ('9', 1.2612059295615872)('2', 1.193860449925623)('本世纪', 1.0000000000000004)('逝世新华社', 1.0000000000000002)
Article  175  : ('乡', 1.2142180540212837)('镇', 1.0000000000000004)('以前', 1.0000000000000004)('长', 1.0000000000000002)
Article  176  : ('做', 1.2647303140646338)('品', 1.117733919991907)('当', 1.100605049995961)('有', 1.0855311023639984)
Article  177  : ('1', 1.2351135416666659)('0', 1.1469783829991878)('西', 1.0000000000000004)('协', 1.0000000000000004)
Article  178  : ('一', 1.2876000000000005)('形象', 1.0000000000000004)('反', 1.0000000000000002)('串', 1.0000000000000002)
Article  179  : ('1', 1.396977185445836)('作风', 1.0000000000000004)('明', 1.0000000000000004)('违纪', 1.0000000000000004)
Article  180  : ('每', 1.2790907118055552)('理由', 1.1970465052570118)('验', 1.0926314010225968)('市', 1.0512205113987805)
Article  181  : ('经济总量', 1.1422814408372703)('越', 1.0533365811333635)('大', 1.0000000000000007)('在', 1.0000000000000004)
Article  182  : ('愈', 1.1115039745908657)('青岛市', 1.0000000000000007)('的', 1.0000000000000007)('大', 1.0000000000000007)
Article  183  : ('1', 1.2693956473911152)('艺', 1.0480861743902417)('文', 1.042375028428856)('助', 1.0000000000000009)
Article  184  : ('新加坡', 1.0000000000000004)('部副部长', 1.0000000000000004)('抵达', 1.0000000000000002)('新华社新加坡11月2', 1.0000000000000002)
Article  185  : ('9', 1.3333609053497941)('工业污染源', 1.0000000000000004)('工', 1.0000000000000004)('州', 1.0000000000000002)
Article  186  : ('实', 1.3542715072631835)('可', 1.0000000000000004)('信息', 1.0000000000000004)('研', 1.0000000000000002)
Article  187  : ('经济', 1.0000000000000004)('十', 1.0000000000000002)('1', 1.0000000000000002)('首府', 1.0000000000000002)
Article  188  : ('1', 1.5445409302113715)('做', 1.223906705539358)('公', 1.1765153958432386)('依', 1.1443525295232544)
Article  189  : ('那', 1.1633772971212353)('现', 1.0000000000000002)('长', 1.0000000000000002)('动', 1.0000000000000002)
Article  190  : ('能', 1.2157559697880482)('9', 1.172842606279675)('0', 1.1558230772721516)('国', 1.0576218151921168)
Article  191  : ('种', 1.2513297478589644)('2', 1.1871766142226405)('艺术', 1.0000000000000002)('著作', 1.0000000000000002)
Article  192  : ('不', 1.3010416666666664)('5', 1.173402201433525)('警', 1.0000000000000013)('市公安局', 1.000000000000001)
Article  193  : ('国', 1.0663849240382284)('区', 1.058494930156953)('和', 1.0000000000000024)('中国与东盟', 1.0000000000000004)
Article  194  : ('停产', 1.2759371626618154)('纺', 1.194771012317934)('能', 1.1447309627801514)('又', 1.1440843264568095)
Article  195  : ('利', 1.0000000000000004)('制造', 1.0000000000000004)('质', 1.0000000000000002)('油', 1.0000000000000002)
Article  196  : ('真', 1.4364357394727134)('连', 1.3542715072631835)('相', 1.1534487922107344)('可', 1.132736651676339)
Article  197  : ('通', 1.5134288233955397)('导', 1.0000000000000004)('出', 1.0000000000000002)('台', 1.0000000000000002)
Article  198  : ('买', 1.4364357394727134)('年', 1.3635410591923027)('精', 1.3548007383806204)('大', 1.2709570990668406)
Article  199  : ('家', 1.3041800637232592)('利', 1.2211313786385958)('说', 1.1981461232754658)('马', 1.1288617167785517)
Article  200  : ('各', 1.093454883716725)('州', 1.0000000000000024)('克孜', 1.0000000000000004)('约', 1.0000000000000004)
Article  201  : ('工', 1.1060461305571518)('塑料', 1.096639446805975)('的', 1.065104361329476)('研制出', 1.0000000000000004)
Article  202  : ('组织', 1.0000000000000007)('村党支', 1.0000000000000004)('群众', 1.0000000000000004)('不断完善', 1.0000000000000002)
Article  203  : ('轰', 1.3656092360153491)('战', 1.2536692148148152)('0', 1.2513297478589644)('2', 1.236918617238639)
Article  204  : ('资源', 1.1128146024889916)('必须', 1.0000000000000007)('要', 1.0000000000000007)('大', 1.0000000000000007)
Article  205  : ('陵', 1.1179121736673752)('东', 1.03560066508394)('城', 1.0241727038194657)('由', 1.0000000000000004)
Article  206  : ('西', 1.2439069523071233)('1', 1.1214005349117984)('0', 1.0871517455912931)('2', 1.0857396055363882)
Article  207  : ('和', 1.0000000000000004)('事', 1.0000000000000004)('意', 1.0000000000000002)('调查表明', 1.0000000000000002)
Date  20001124
Article  0  : ('2', 1.2360385637480003)('社', 1.1977528896895178)('成', 1.0000000000000007)('发生', 1.0000000000000004)
Article  1  : ('0', 1.5719028763965168)('次', 1.0000000000000004)('一', 1.0000000000000004)('嫂', 1.0000000000000004)
Article  2  : ('实', 1.1453657367421781)('结构', 1.1044294698522532)('相', 1.0967777841902626)('东亚', 1.0166380063562732)
Article  3  : ('9', 1.5099506881766733)('的', 1.0000000000000004)('日本', 1.0000000000000002)('正', 1.0000000000000002)
Article  4  : ('的', 1.0763285396254407)('协调', 1.0000000000000004)('巴', 1.0000000000000002)('4', 1.0000000000000002)
Article  5  : ('当年', 1.1655085862373635)('的', 1.0000000000000013)('进', 1.0000000000000007)('要', 1.0000000000000004)
Article  6  : ('0', 1.3614366021045987)('男队', 1.0000000000000007)('今', 1.0000000000000004)('结束', 1.0000000000000002)
Article  7  : ('0', 1.3957477436092147)('9', 1.3614366021045974)('纪念', 1.1395529828301463)('的', 1.000000000000003)
Article  8  : ('乡', 1.5277520576131685)('古', 1.5277520576131685)('0', 1.3614366021045983)('欣', 1.1286923567520388)
Article  9  : ('新', 1.112113494027262)('的', 1.062140637847218)('1', 1.0594225637954127)('审', 1.0000000000000007)
Article  10  : ('有', 1.3278325345616915)('二', 1.0000000000000007)('五', 1.0000000000000004)('中', 1.0000000000000004)
Article  11  : ('的', 1.000000000000004)('吹', 1.0000000000000004)('河', 1.0000000000000004)('道', 1.0000000000000004)
Article  12  : ('川', 1.0000000000000002)('基', 1.0000000000000002)('总', 1.0000000000000002)('部分地区', 1.0000000000000002)
Article  13  : ('市', 1.089180221165788)('贵阳', 1.0000000000000004)('近', 1.0000000000000002)('展', 1.0000000000000002)
Article  14  : ('这一', 1.0000000000000004)('指出', 1.0000000000000002)('各方面的', 1.0000000000000002)('司', 1.0000000000000002)
Article  15  : ('和', 1.0000000000000009)('的', 1.0000000000000007)('说', 1.0000000000000004)('专', 1.0000000000000002)
Article  16  : ('瓦希德', 1.0000000000000007)('国', 1.0000000000000004)('会', 1.0000000000000002)('人力资源开发', 1.0000000000000002)
Article  17  : ('权', 1.314705697275417)('论坛', 1.0000000000000002)('在', 1.0000000000000002)('行', 1.0000000000000002)
Article  18  : ('9', 1.2420681344122588)('个', 1.129125385802784)('实', 1.107407407407407)('老', 1.0033012317352976)
Article  19  : ('种', 1.2661266776598181)('过', 1.0000000000000004)('德', 1.0000000000000004)('会', 1.0000000000000004)
Article  20  : ('忍', 1.2091911827510016)('一', 1.186596200205667)('赛', 1.1229439517016346)('的', 1.000000000000001)
Article  21  : ('0', 1.2012356178369121)('新华社澳门11月2', 1.0000000000000002)('4', 1.0000000000000002)('日', 1.0000000000000002)
Article  22  : ('业', 1.3524407976131723)('航空公司', 1.0675624628148153)('议', 1.0000000000000007)('的', 1.0000000000000004)
Article  23  : ('1', 2.0759661175593283)('件', 1.064328609940619)('两', 1.0000000000000004)('经过', 1.0000000000000004)
Article  24  : ('0', 1.298390808348855)('心', 1.2261255096489048)('南', 1.1423906091859102)('厂', 1.128692356752039)
Article  25  : ('于', 1.3099316872427982)('针', 1.2142180540212835)('9', 1.1986378171258003)('静', 1.1146317885695218)
Article  26  : ('泛', 1.0000000000000004)('朱', 1.0000000000000002)('马哈蒂尔', 1.0000000000000002)('日', 1.0000000000000002)
Article  27  : ('选', 1.0000000000000002)('新华社东京11月2', 1.0000000000000002)('日', 1.0000000000000002)('委', 1.0000000000000002)
Article  28  : ('一辆', 1.0000000000000007)('车祸', 1.0000000000000004)('尼日利亚', 1.0000000000000002)('发生', 1.0000000000000002)
Article  29  : ('国', 1.0565692899102386)('议', 1.0561342797921194)('会', 1.0000000000000009)('和', 1.0000000000000007)
Article  30  : ('共', 1.0000000000000004)('取得进展', 1.0000000000000002)('国', 1.0000000000000002)('部', 1.0000000000000002)
Article  31  : ('他', 1.1292601897069874)('运', 1.0000000000000002)('健康', 1.0000000000000002)('平', 1.0000000000000002)
Article  32  : ('9', 1.3014149450170804)('0', 1.0711355623187215)('如期', 1.0000000000000004)('了', 1.0000000000000004)
Article  33  : ('的', 1.0000000000000018)('刘', 1.0000000000000004)('展出', 1.0000000000000002)('4', 1.0000000000000002)
Article  34  : ('最', 1.0000000000000004)('祖国大陆', 1.0000000000000002)('半数', 1.0000000000000002)('赢利', 1.0000000000000002)
Article  35  : ('创', 1.1141105481848665)('今', 1.0000000000000007)('家', 1.0000000000000004)('实', 1.0000000000000002)
Article  36  : ('1', 1.0866912317116626)('的', 1.000000000000004)('新华社香港11月2', 1.0000000000000002)('日', 1.0000000000000002)
Article  37  : ('委', 1.1180054657850553)('国', 1.0704837015198678)('大', 1.0000000000000013)('中', 1.000000000000001)
Article  38  : ('1', 1.303515913947563)('用', 1.1673999999999995)('明', 1.0815475927521108)('划', 1.0509457312445103)
Article  39  : ('有所', 1.3921561716619453)('财政收入', 1.28946456610684)('权', 1.1973174787659022)('为', 1.1861606685072077)
Article  40  : ('威胁', 1.0000000000000004)('增', 1.0000000000000004)('说', 1.0000000000000002)('入', 1.0000000000000002)
Article  41  : ('9', 1.385487159900025)('微', 1.2763807173782582)('的', 1.0000000000000038)('年', 1.0000000000000004)
Article  42  : ('为了', 1.0000000000000002)('进一步', 1.0000000000000002)('贯彻执行', 1.0000000000000002)('到', 1.0000000000000002)
Article  43  : ('1', 1.098299319727891)('大', 1.0000000000000004)('来', 1.0000000000000002)('一周', 1.0000000000000002)
Article  44  : ('0', 1.2173469387755094)('示', 1.0000000000000004)('精神文明建设', 1.0000000000000004)('全', 1.0000000000000004)
Article  45  : ('1', 1.098299319727891)('月', 1.0)('2', 1.0)('4', 1.0)
Article  46  : ('0', 1.5990344548875906)('2', 1.0000000000000002)('新华社上海11月2', 1.0000000000000002)('日', 1.0000000000000002)
Article  47  : ('行', 1.0435166404490939)('人', 1.0000000000000002)('保', 1.0000000000000002)('与', 1.0000000000000002)
Article  48  : ('0', 1.317513169692077)('国', 1.2107979049117805)('区', 1.0000000000000007)('西部地区', 1.0000000000000004)
Article  49  : ('政府将', 1.0000000000000004)('等', 1.0000000000000004)('华', 1.0000000000000002)('德', 1.0000000000000002)
Article  50  : ('的', 1.0000000000000062)('加', 1.0000000000000018)('沙', 1.0000000000000018)('更', 1.0000000000000004)
Article  51  : ('会', 1.1366774253956649)('名', 1.0000000000000004)('将为', 1.0000000000000002)('香港', 1.0000000000000002)
Article  52  : ('今日新华股价指数新华社北京11月', 1.0)('24日电', 1.0)
Article  53  : ('1', 1.2816923534192655)('洪', 1.2513297478589644)('d', 1.1690370309228002)('i', 1.1234893432098763)
Article  54  : ('大', 1.0000000000000002)('学', 1.0000000000000002)('投', 1.0000000000000002)('投入使用', 1.0000000000000002)
Article  55  : ('合', 1.2037943891509448)('大', 1.192802287953519)('2', 1.161403756348215)('0', 1.128179174898555)
Article  56  : ('行', 1.0422924208514102)('发', 1.0000000000000016)('国', 1.0000000000000004)('家', 1.0000000000000002)
Article  57  : ('9', 1.098299319727891)('作', 1.0000000000000007)('房', 1.0000000000000004)('3', 1.0000000000000002)
Article  58  : ('0', 1.1970011124095232)('例', 1.188218690470403)('5', 1.098299319727891)('北京', 1.0000000000000004)
Article  59  : ('新', 1.0000000000000004)('新华社重庆11月2', 1.0000000000000002)('中国新闻', 1.0000000000000002)('史', 1.0000000000000002)
Article  60  : ('9', 1.4449569789376864)('0', 1.1443525295232537)('和', 1.0000000000000009)('河内', 1.0000000000000004)
Article  61  : ('那', 1.2142180540212837)('禁止', 1.0000000000000009)('从', 1.0000000000000002)('非', 1.0000000000000002)
Article  62  : ('五', 1.2513297478589647)('0', 1.1286923567520388)('甲A', 1.0000000000000002)('暂停', 1.0000000000000002)
Article  63  : ('人', 1.1537803595812464)('的', 1.072285018877943)('上', 1.037578029765087)('中', 1.0000000000000007)
Article  64  : ('2', 1.5407211993793544)('组', 1.0000000000000007)('世界', 1.0000000000000002)('室', 1.0000000000000002)
Article  65  : ('动', 1.1451306959685166)('首届', 1.0000000000000002)('新华社呼和浩特11月2', 1.0000000000000002)('4', 1.0000000000000002)
Article  66  : ('一', 1.2327680698198151)('车', 1.1339854610799216)('行', 1.0300136859840785)('市', 1.0000000000000007)
